id,track_name,track_artist_name,artist_genres,artist_popularity,track_album_release_date,track_duration_ms,track_explicit,track_popularity,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_name_subjectivity,track_name_polarity
5vcK2Dr4G349DFNelTUhQQ,No Quiero Ser Normal,El Cuarteto De Nos,"['argentine rock', 'rock en espanol', 'rock uruguayo']",68,1083369600.0,218853,0,54,0.635,0.661,1,-7.231,0,0.0282,0.0115,2.93e-06,0.117,0.809,102.984,positive,high
3khEEPRyBeOUabbmOPJzAG,KICK BACK,Kenshi Yonezu,"['anime', 'j-pop']",71,1665532800.0,193495,0,82,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,negative,low
1Cafs1zrIyOzF8XPmkSI4p,Sin Despertar,Kudai,['latin pop'],54,1072915200.0,195666,0,63,0.672,0.779,11,-5.249,1,0.0285,0.161,0.0,0.152,0.725,97.017,neutral,low
1WS5eZR8yc0MKrGuC9jvCK,Cómo Te Atreves,Dani J,[],49,1524787200.0,238602,0,28,0.711,0.491,4,-10.699,1,0.0307,0.685,0.0,0.21,0.951,131.023,neutral,low
5swHBoLbWmAdKEPSLS6VwQ,Quizás Quizás,Laurel Aitken,"['jamaican ska', 'rocksteady', 'ska', 'ska revival']",32,937353600.0,155933,0,45,0.825,0.652,2,-8.031,0,0.0576,0.51,0.0,0.316,0.96,136.275,neutral,low
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,['gen z singer-songwriter'],74,1630454400.0,177720,0,84,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,negative,low
1osWfURahoiSR1lUNz05H5,Fuentes de Ortiz,Baby Aventurero,[],32,1653782400.0,217595,0,34,0.787,0.79,1,-8.064,1,0.0359,0.268,2.57e-05,0.133,0.963,140.008,negative,low
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",69,486432000.0,225280,0,88,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,positive,medium
6CBag74VuMMNaI2SUnbhvN,Rico Rico,Moral Distraida,"['chilean indie', 'chilean rock', 'cumbia chilena', 'pop chileno']",43,1594339200.0,214507,0,46,0.806,0.909,4,-5.681,1,0.0875,0.0671,0.0,0.0329,0.949,110.028,negative,low
6dGqGkYDoRrKh5UiIcTT22,Understand,BoyWithUke,['sad rap'],72,1651795200.0,171946,1,74,0.828,0.658,6,-6.19,0,0.14,0.81,1.06e-06,0.277,0.917,103.051,neutral,low
6D2TCm4nf5nxAcdGJ7w3QP,Qué Más Pues?,J Balvin,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",84,1631232000.0,217360,0,76,0.903,0.817,8,-3.972,1,0.095,0.0272,0.000311,0.242,0.732,102.014,neutral,low
