track_duration_ms,track_explicit,artist_popularity,track_popularity,track_album_release_date,track_danceability,track_energy,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_name_subjectivity|negative,track_name_subjectivity|neutral,track_name_subjectivity|positive,track_name_polarity|high,track_name_polarity|low,track_name_polarity|medium,track_key|0,track_key|1,track_key|2,track_key|3,track_key|4,track_key|5,track_key|6,track_key|7,track_key|8,track_key|9,track_key|10,track_key|11,track_mode|0,track_mode|1,genre|acoustic,genre|afrobeat,genre|alternative,genre|anime,genre|argentina,genre|argentine,genre|argentino,genre|australian,genre|british,genre|cancion,genre|cantautor,genre|chicha,genre|chilean,genre|chilena,genre|chileno,genre|city,genre|classic,genre|colombian,genre|colombiana,genre|colombiano,genre|conciencia,genre|cumbia,genre|dance,genre|denpa,genre|electronica,genre|en,genre|espanol,genre|folclore,genre|folklore,genre|french,genre|funk,genre|future,genre|gen,genre|girl,genre|group,genre|hip,genre|hop,genre|indie,genre|indietronica,genre|israeli,genre|jamaican,genre|japanese,genre|kei,genre|la,genre|latin,genre|latino,genre|mexican,genre|modern,genre|neo,genre|nueva,genre|peruano,genre|pixie,genre|pop,genre|poprock,genre|pov,genre|puerto,genre|rap,genre|reggaeton,genre|regia,genre|revival,genre|rican,genre|rock,genre|rocksteady,genre|sad,genre|singer,genre|ska,genre|songwriter,genre|soul,genre|spanish,genre|synthpop,genre|teen,genre|trap,genre|triste,genre|trova,genre|tucumano,genre|urbano,genre|uruguayo
261013,0,0.17500000000000002,0.1411764705882353,0.17919484702093397,0.10879712746858171,0.18282051282051281,0.1544467787114846,0.0007212292254625274,0.00035306223272528177,0.0008888888888888889,0.07953941541186892,0.15271739130434786,0.08402096916007235,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733156906992169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17503757892749996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733156906992169,0.0,0.0,0.0,0.0,0.0,0.0
204219,0,0.05357142857142856,0.0588235294117647,0.1932528180354267,0.04631956912028723,0.13974358974358975,0.14420518207282912,0.2,0.13475795937162058,0.0,0.08898730439917332,0.14619565217391303,0.18021533203935042,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.11381281450561334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174253,0,0.17500000000000002,0.2,0.19798711755233495,0.14937163375224413,0.11051282051282052,0.09998249299719884,0.0015365318281592975,0.09112341129862081,0.0002144702842377261,0.09341600236197224,0.13559782608695653,0.06739328787803382,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08346031502613395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96229,0,0.01785714285714286,0.002941176470588236,0.18516908212560385,0.03339317773788151,0.17512820512820515,0.1036064425770308,0.008153026026967703,0.002448779229115992,0.0269250645994832,0.0,0.0951086956521739,0.1421008974933227,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.16736010293115022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120157,0,0.1857142857142857,0.10588235294117648,0.1932528180354267,0.015798922800718106,0.09897435897435898,0.16155462184873948,0.013295703982439636,0.13832424455066383,0.0,0.013994685562444643,0.08831521739130438,0.08136498614774633,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19217164481951202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14127675913824092,0.0,0.0,0.0,0.0,0.1147226178109634,0.0,0.09608582240975601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10494293952999881,0.0,0.10494293952999881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210600,0,0.1392857142857143,0.14411764705882354,0.19626409017713364,0.19999999999999998,0.10307692307692307,0.10756302521008401,0.016306052053935403,0.018308259201802447,0.0,0.021375848833776204,0.17527173913043478,0.06248610627249956,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10099349817742198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
211022,0,0.0,0.05,0.14747181964573267,0.12890484739676838,0.1841025641025641,0.16377801120448177,0.012010034493571653,0.11692653347640435,0.00027906976744186045,0.10197815175671687,0.17065217391304346,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.16736010293115022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154506,0,0.13214285714285712,0.10294117647058823,0.19539452495974233,0.1561938958707361,0.1358974358974359,0.12377450980392156,0.0057698338037002195,0.02061585549412455,0.00011834625322997416,0.07274874520224388,0.0611413043478261,0.029242356376184088,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1227119780397163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18042568747513657,0.0,0.0,0.0,0.0,0.14651317961814442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1340234736828454,0.0,0.1340234736828454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223773,0,0.09642857142857142,0.05,0.15515297906602254,0.18779174147217237,0.11384615384615385,0.12347689075630251,0.003606146127312637,0.08231258909157278,9.819121447028423e-05,0.030528491290227347,0.1899456521739131,0.09217637983377294,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10109576567448718,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259661,0,0.17500000000000002,0.09705882352941178,0.19043478260869562,0.09730700179533212,0.1812820512820513,0.1460434173669468,0.00031357792411414317,0.0022180195998837814,0.0,0.09193976970770595,0.1622282608695652,0.08402926392275918,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733156906992169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17503757892749996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733156906992169,0.0,0.0,0.0,0.0,0.0,0.0
