id,track_duration_ms,track_key,track_mode,source_type,source_ref,artist_popularity,track_popularity,track_album_release_date,track_danceability,track_energy,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,normalized_views,normalized_likes
hTWKbfoikeg,279000,1,0,0,0,0.2,0.2,0.010116403072760606,0.19109570703884404,0.2,0.1452580969871968,0.10112814698645622,0.13349601246367257,0.0,0.06559928586830281,0.041885036249083005,0.10557184750733138,0.2,0.2
fJ9rUzIMcZQ,360000,10,0,0,0,0.2,0.2,0.00041913828287025727,0.1478822328960717,0.14742414213765898,0.06793817924002359,0.11592314928321445,0.1569290537325977,0.0,0.03886443434235157,0.05696336949008518,0.15053763440860216,0.19026546116318682,0.18474273511143519
bpOSxM0rNPM,266000,4,1,0,0,0.2,0.2,0.05453280670220178,0.16668684780046183,0.2,0.141418154664776,0.07809110258631324,0.1742376777080017,0.0,0.04878428742835781,0.1504729894747592,0.051612903225806465,0.17324312781493284,0.14132885700554085
XFkzRNyygfk,237000,7,1,0,0,0.2,0.2,0.0,0.1759930402199569,0.2,0.11180616393199168,0.11589634021926437,0.14587222007019138,0.0,0.029744178065050465,0.1574385064491908,0.06221198156682028,0.13000848606442242,0.105053191968358
tvTRZJ-4EyI,184000,1,0,0,0,0.2,0.2,0.09644648497174409,0.1362922093464797,0.2,0.13605697517265247,0.13374566884350053,0.14281439981848362,0.0,0.14855094040630032,0.06269009190756579,0.1650853889943074,0.1027283890167787,0.12101659245216692
4zAThXFOy2c,294000,9,1,0,0,0.2,0.2,0.07496918023620545,0.13734677698985973,0.18134081884212813,0.09566120230686365,0.08189344350218969,0.17517415215520013,0.0,0.01118698681713041,0.19304637382051268,0.1650853889943074,0.08314264327453941,0.054938443266514175
fHI8X4OXluQ,204000,5,0,0,0,0.2,0.2,0.12598931794427157,0.16948236430605573,0.2,0.18374943038001212,0.10313143707545908,0.15558516015424428,0.0,0.0804429072396231,0.018736906694355033,0.051612903225806465,0.08046632445195938,0.08447705709685954
5NV6Rdv1a3I,249000,8,1,0,0,0.2,0.2,0.05268484226972179,0.1921998734594167,0.2,0.15899295976641536,0.08685141894958076,0.15953920586122894,0.0,0.047517206186258376,0.17287715709246343,0.10557184750733138,0.07914751770596817,0.07115955055730082
5y_KJAg8bHI,252000,9,1,0,0,0.2,0.2,0.05482516335563501,0.17844518712925828,0.2,0.15557302423452354,0.10907242150898735,0.1340680272942949,0.0,0.07571643660954537,0.17917767613905455,0.11520737327188942,0.049742879829542896,0.0381170206627709
vGJTaP6anOU,181000,6,1,0,0,0.2,0.2,0.05280636801762926,0.1842044898015508,0.2,0.11094290147205972,0.06003152867097161,0.1805412051293739,0.0,0.01981859508622429,0.15869117204712468,0.07444168734491316,0.04361358615215349,0.055831298563081444
d-JBBNg8YKs,315000,2,0,0,0,0.2,0.2,0.11132669153041777,0.1335545972008954,0.2,0.14929068463981152,0.14632443773729167,0.14090216584636725,0.0,0.11368584432431483,0.06288258165004744,0.1650853889943074,0.02933296026284112,0.03675425767545579
qQzdAsjWGPg,277000,2,1,0,0,0.2,0.2,0.11531268427589235,0.1369304286709466,0.2,0.1178400489109704,0.061673268043657296,0.1723774098997716,0.0,0.0157993596680626,0.1933279001422834,0.1650853889943074,0.028931487744000783,0.03634226297580855
2SUwOgmvzK4,218000,6,1,0,0,0.2,0.2,0.1339615669319553,0.1907980218287072,0.2,0.17350196679826557,0.09579858055046264,0.15685930865502243,0.0,0.06650218871264764,0.17314692153061378,0.10557184750733138,0.024272695265854724,0.027057066842411232
NMA_isZYsYQ,194000,8,0,0,0,0.2,0.2,0.15777719017225272,0.18803170134184832,0.2,0.18219016115829417,0.059154554626795176,0.14014179039396765,0.0,0.040868230541405405,0.03179999342361952,0.08129032258064517,0.019919068112971495,0.01955399259111274
lA8F9sIhGdg,263000,7,1,0,0,0.2,0.2,0.15255198352726637,0.1974751580258856,0.2,0.12116793205638653,0.10705598718741359,0.16364994109314945,0.0,0.12417986244647897,0.16905174392031985,0.09677419354838712,0.019887224979784082,0.0121602206056717
IhP3J0j9JmY,203000,10,0,0,0,0.2,0.2,0.09471749634144011,0.18338691347719274,0.2,0.1680536975747512,0.09329942728447335,0.14153957768142572,0.0,0.07193519597343827,0.044811886333338234,0.11520737327188942,0.019593156163678155,0.0240481527643581
6JHu3b-pbh8,201000,0,1,0,0,0.2,0.2,0.11400005737553567,0.17188754910876236,0.2,0.14991456448697074,0.08658165053522515,0.177085509076232,0.0,0.11355370177277735,0.17895762700240833,0.12580645161290324,0.017148862025711017,0.01722583965332251
3mWbRB3Y4R8,213000,9,1,0,0,0.2,0.2,0.09501426849748446,0.15615611697000326,0.2,0.16104712471399238,0.1112455992318519,0.14018567904796939,0.0,0.07810825649316273,0.15390073971277063,0.051612903225806465,0.016024590236414973,0.01693724858594446
QkF3oxziUI4,483000,9,1,0,0,0.2,0.2,0.1104110189471948,0.14604205689166225,0.016073380650196322,0.014158701967037769,0.0670248529416966,0.17683789075951278,0.0,0.0,0.18857298834641467,0.15053763440860216,0.015740710456129556,0.01924489650937818
SQnc1QibapQ,156000,10,0,0,0,0.2,0.2,0.15956175342580947,0.17096138159278165,0.2,0.16339760433252512,0.059431142293033735,0.1715067176897304,0.0,0.09999817252302451,0.019118435194023804,0.056729699666295874,0.014631441154731285,0.012067754597535733
m1a_GqJf02M,199000,0,1,0,0,0.2,0.2,0.11110701992418442,0.1371116712802146,0.2,0.12342783386318223,0.1361213974408733,0.13728169952306277,0.0,0.1365527509799011,0.1968607127327568,0.1650853889943074,0.013799392318566448,0.013671668293704649
WHuBW3qKm9g,221000,11,1,0,0,0.2,0.2,0.13000122506658426,0.1931938469748666,0.2,0.17475031033435867,0.09403365106736743,0.1435219477130136,0.0,0.08853635603490304,0.16507342609505882,0.08129032258064517,0.013604515966962816,0.013348364118092607
