id,track_name,track_artist_name,youtube_url,track_duration_ms,views,likes,track_album_release_date,track_album_type,track_album_name,artist_genres,artist_popularity,track_popularity,track_explicit,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,source_type,source_ref
XqN2qFvY64U,Anti-Hero (Official Lyric Video),Taylor Swift,https://youtube.com/watch?v=XqN2qFvY64U,204000,44685083,273189,2022-10-22T00:00:14Z,single,Anti-Hero (Official Lyric Video),[],93,93,False,0.934860093173605,1.0,1,-18.04921531677246,1,0.4685830352157034,0.816209569221855,0.0,0.0230434834957122,0.6189748146167218,95.703125,,
fHI8X4OXluQ,Blinding Lights,The Weeknd,https://youtube.com/watch?v=fHI8X4OXluQ,204000,856293258,6332171,2019-11-29T05:00:08Z,single,Blinding Lights,[],100,100,False,0.9040540900081786,1.0,5,-10.39339542388916,0,0.546758519746056,0.8125737605436395,0.0,0.0833271890878677,0.200379560918454,86.1328125,,
WHuBW3qKm9g,Levitating (Official Lyrics Video),Dua Lipa,https://youtube.com/watch?v=WHuBW3qKm9g,221000,144774298,1000558,2020-04-09T09:00:40Z,single,Levitating (Official Lyrics Video),[],100,100,False,0.9605834026108158,1.0,11,-11.539962768554688,1,0.5073475164167076,0.7883385206707999,0.0,0.0912253856658935,0.63846797189938,103.359375,,
V1Z586zoeeE,As It Was (Audio),Harry Styles,https://youtube.com/watch?v=V1Z586zoeeE,166000,4252020,204702,2022-05-20T04:18:44Z,single,As It Was (Audio),[],72,72,False,0.7571077453846145,1.0,11,-10.221630096435549,1,0.4745084163861087,0.8403780281337215,0.0,0.0629860609769821,0.7239432957799418,172.265625,,
tNJhkrpLGT8,drivers license,Unknown Artist,https://youtube.com/watch?v=tNJhkrpLGT8,243000,37621904,371458,2021-05-20T10:04:29Z,single,drivers license,[],91,91,False,0.8504310196382894,1.0,10,-18.285879135131836,0,0.5553397750742216,0.8525136940017841,0.0,0.0574498400092124,0.3092323208997323,143.5546875,,
fJ9rUzIMcZQ,Bohemian Rhapsody ( Remastered),Queen,https://youtube.com/watch?v=fJ9rUzIMcZQ,360000,2024735592,13847813,2008-08-01T11:06:40Z,single,Bohemian Rhapsody ( Remastered),[],100,100,False,0.8525583401308781,0.795543909072876,10,-25.148771286010746,0,0.6021713654603357,0.815273670156741,0.0,0.0427517853677272,0.3148183244764888,143.5546875,,
mQER0A0ej0M,Hey Jude (Remastered 2015),Unknown Artist,https://youtube.com/watch?v=mQER0A0ej0M,426000,92121835,731330,2018-06-17T11:17:26Z,single,Hey Jude (Remastered 2015),[],99,99,False,0.8242880165355129,1.0,5,-17.39569854736328,1,0.6043874981306825,0.7547146902128009,0.0,0.03563167527318,0.7367927964680798,151.99908088235293,,
QkF3oxziUI4,Stairway To Heaven,Led Zeppelin,https://youtube.com/watch?v=QkF3oxziUI4,483000,167506900,1442546,2018-07-04T00:02:29Z,single,Stairway To Heaven,[],100,100,False,0.848171272225843,0.2847493290901184,9,-32.00075149536133,1,0.3903472009656971,0.8552709298657258,0.0,0.0048249447718262,0.7088187355201412,143.5546875,,
hTWKbfoikeg,Smells Like Teen Spirit,Nirvana,https://youtube.com/watch?v=hTWKbfoikeg,279000,2128327001,14991456,2009-06-16T22:14:25Z,single,Smells Like Teen Spirit,[],100,100,False,0.9555813363130592,1.0,1,-15.297531127929688,0,0.5380804004435003,0.7681962122350421,0.0,0.0688416659832,0.2696782386192892,117.45383522727272,,
hq0rZ3IiyWw,Everlong,Foo Fighters,https://youtube.com/watch?v=hq0rZ3IiyWw,251000,11480107,109209,2013-10-30T17:09:28Z,single,Everlong,[],81,81,False,0.8730399200844019,1.0,11,-13.968132019042969,1,0.4111139731676476,0.8073909747915993,0.0,0.0528171062469482,0.5854964674176237,78.30255681818181,,
m1a_GqJf02M,God's Plan,Unknown Artist,https://youtube.com/watch?v=m1a_GqJf02M,199000,146848101,1024792,2018-07-26T22:20:01Z,single,God's Plan,[],100,100,False,0.8268808043566342,1.0,0,-18.07889938354492,1,0.6896688318417716,0.7758017347618813,0.0,0.1380833983421325,0.7336297397857178,151.99908088235293,,
tvTRZJ-4EyI,HUMBLE.,Kendrick Lamar,https://youtube.com/watch?v=tvTRZJ-4EyI,184000,1093198023,9071075,2017-03-30T23:00:06Z,single,HUMBLE.,[],100,100,False,0.82492716778042,1.0,1,-16.46983528137207,0,0.6793773337149295,0.7869170425173647,0.0,0.1497921347618103,0.3319624436223953,151.99908088235293,,
d-JBBNg8YKs,SICKO MODE (Audio),Travis Scott,https://youtube.com/watch?v=d-JBBNg8YKs,315000,312150661,2755000,2018-08-03T04:01:00Z,single,SICKO MODE (Audio),[],100,100,False,0.8184005690466314,1.0,2,-14.783743858337402,0,0.7338677231691758,0.7830753254595737,0.0,0.1157681494951248,0.3325387011810639,151.99908088235293,,
pQV0WEdT_OE,Circles,Post Malone,https://youtube.com/watch?v=pQV0WEdT_OE,216000,18768516,280096,2019-08-30T16:02:55Z,single,Circles,[],85,85,False,0.9582199591848084,1.0,0,-11.321807861328123,1,0.5257154546798635,0.8366837447625182,0.0,0.1201148778200149,0.6594051087401678,117.45383522727272,,
SQnc1QibapQ,Kill Bill,SZA,https://youtube.com/watch?v=SQnc1QibapQ,156000,155702461,904567,2022-12-09T05:00:09Z,single,Kill Bill,[],100,100,False,0.9075801381981556,1.0,10,-12.986397743225098,0,0.3574517519641068,0.8445604944175196,0.0,0.102410688996315,0.2015217448028892,89.10290948275862,,
5NV6Rdv1a3I,"Get Lucky  ft. Pharrell Williams, Nile Rodgers",Daft Punk,https://youtube.com/watch?v=5NV6Rdv1a3I,249000,842258998,5333927,2013-04-19T06:55:07Z,single,"Get Lucky  ft. Pharrell Williams, Nile Rodgers",[],100,100,False,0.9582137220489368,1.0,8,-13.547588348388672,1,0.476234565017929,0.8205175190278571,0.0,0.0511958114802837,0.6618300426003669,117.45383522727272,,
McEoTIqoRKk,Summer (Audio),Calvin Harris,https://youtube.com/watch?v=McEoTIqoRKk,223000,136405183,789049,2014-03-14T09:00:01Z,single,Summer (Audio),[],100,100,False,0.9122241320890392,1.0,7,-12.723369598388672,1,0.5474076703513552,0.7800276351333587,0.0,0.0739032551646232,0.6913942922299963,129.19921875,,
5XggbNWy3NA,Closer (feat. Halsey),The Chainsmokers,https://youtube.com/watch?v=5XggbNWy3NA,246000,152501,1559,2016-08-21T12:51:28Z,single,Closer (feat. Halsey),[],43,43,False,0.9232519852127568,1.0,5,-17.088869094848633,0,0.8028007110287451,0.7314965025778792,0.0,0.1098788082599639,0.2316817746133181,95.703125,,
5y_KJAg8bHI,Wake Me Up (Official Lyric Video),Avicii,https://youtube.com/watch?v=5y_KJAg8bHI,252000,529345575,2857149,2013-06-28T19:09:38Z,single,Wake Me Up (Official Lyric Video),[],100,100,False,0.9254218897468812,1.0,9,-13.983318328857422,1,0.5724944688089537,0.7693454016983373,0.0,0.0787147432565689,0.6806919397452494,123.046875,,
3mWbRB3Y4R8,Don't You Worry Child (Radio Edit),Unknown Artist,https://youtube.com/watch?v=3mWbRB3Y4R8,213000,170527845,1269571,2017-02-11T18:37:18Z,single,Don't You Worry Child (Radio Edit),[],100,100,False,0.8722836768289697,1.0,9,-13.285869598388672,1,0.5819085300316408,0.7816358888659225,0.0,0.0810488611459732,0.6050202416701116,86.1328125,,
QpKkNIT84GY,Tití Me Preguntó (360° Visualizer) | Un Verano Sin Ti,Bad Bunny,https://youtube.com/watch?v=QpKkNIT84GY,244000,115380553,1234571,2022-05-06T04:02:13Z,single,Tití Me Preguntó (360° Visualizer) | Un Verano Sin Ti,[],100,100,False,0.9593114986812388,1.0,5,-15.011176109313965,1,0.5592806886896371,0.76959562011341,0.0,0.1216320991516113,0.6592549504612494,112.34714673913044,,
p3pEe6aAJ4k,Hips Don't Lie  ft. Wyclef Jean,Shakira,https://youtube.com/watch?v=p3pEe6aAJ4k,219000,52004200,220033,2023-06-05T20:42:54Z,single,Hips Don't Lie  ft. Wyclef Jean,[],94,94,False,0.9443123843031273,1.0,10,-14.527770042419434,0,0.4949377910310423,0.7782518886291305,0.0,0.0612701587378978,0.2320302455517842,99.38401442307692,,
zg99uHoY3nY,"Mi Gente
(Audio)","J. Balvin, Willy William",https://youtube.com/watch?v=zg99uHoY3nY,200000,676848,6467,2017-07-20T05:10:45Z,single,"Mi Gente
(Audio)",[],56,56,False,0.8716742675308183,1.0,4,-12.883796691894531,1,0.5882562211966107,0.7511999751534411,0.0,0.1229304149746894,0.7093183589901417,135.99917763157896,,
