id,track_name,track_artist_name,youtube_url,track_duration_ms,views,likes,track_album_release_date,track_album_type,track_album_name,artist_genres,artist_popularity,track_popularity,track_explicit,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,song_info,track_name_polarity,track_name_subjectivity,normalized_views,normalized_likes
2SUwOgmvzK4,The Less I Know The Better (Audio),Tame Impala,https://youtube.com/watch?v=2SUwOgmvzK4,218000,258301168,2028125,1597695300.0,single,The Less I Know The Better (Audio),[],100,100,0,0.9548716404861026,1.0,6,-11.699012756347656,1,0.5149930734426109,0.8151335508731571,0.0,0.0697227865457534,0.662637637823572,117.45383522727272,the less i know the better (audio) tame impala,positive,low,0.12134505713475859,0.13527010629108788
NMA_isZYsYQ,KICK BACK,Unknown Artist,https://youtube.com/watch?v=NMA_isZYsYQ,194000,211971457,1465715,1665482544.0,single,KICK BACK,[],100,100,0,0.9482765996889949,1.0,8,-10.592060089111328,0,0.35625359260695233,0.7815477156647449,0.0,0.04470724053680897,0.23948659265028827,103.359375,kick back unknown artist,negative,low,0.09957646503656155,0.0977540743760786
lA8F9sIhGdg,Something In The Orange,Zach Bryan,https://youtube.com/watch?v=lA8F9sIhGdg,263000,211632594,911498,1650609855.0,single,Something In The Orange,[],100,100,0,0.9707902536176708,1.0,7,-18.366830825805664,1,0.5637594095659385,0.8287760699639926,0.0,0.126009002327919,0.6503778829836621,112.34714673913044,something in the orange zach bryan,neutral,low,0.09941724603292539,0.06078456341460796
IhP3J0j9JmY,Believer (Audio),Imagine Dragons,https://youtube.com/watch?v=IhP3J0j9JmY,203000,208503221,1802585,1485993525.0,single,Believer (Audio),[],100,100,0,0.9372032025150838,1.0,10,-12.393170356750488,0,0.5041669078679476,0.7843558988388196,0.0,0.0750247240066528,0.278440365174177,123.046875,believer (audio) imagine dragons,neutral,low,0.09794687112900873,0.12022527096079291
6JHu3b-pbh8,Thinkin Bout You,Unknown Artist,https://youtube.com/watch?v=6JHu3b-pbh8,201000,182491935,1291203,1540878155.0,single,Thinkin Bout You,[],100,100,0,0.9097881660032726,1.0,0,-14.704256057739258,1,0.4750659462059602,0.8557684001152001,0.0,0.1156391948461532,0.6800331774827201,129.19921875,thinkin bout you unknown artist,negative,medium,0.0857251442357945,0.08611310468928053
3mWbRB3Y4R8,Don't You Worry Child (Radio Edit),Unknown Artist,https://youtube.com/watch?v=3mWbRB3Y4R8,213000,170527845,1269571,1486838238.0,single,Don't You Worry Child (Radio Edit),[],100,100,0,0.8722836768289697,1.0,9,-13.285869598388672,1,0.5819085300316408,0.7816358888659225,0.0,0.0810488611459732,0.6050202416701116,86.1328125,don't you worry child (radio edit) unknown artist,negative,medium,0.08010366744661016,0.08467012394145336
QkF3oxziUI4,Stairway To Heaven,Led Zeppelin,https://youtube.com/watch?v=QkF3oxziUI4,483000,167506900,1442546,1530662549.0,single,Stairway To Heaven,[],100,100,0,0.848171272225843,0.2847493290901184,9,-32.00075149536133,1,0.3903472009656971,0.8552709298657258,0.0,0.0048249447718262,0.7088187355201412,143.5546875,stairway to heaven led zeppelin,neutral,low,0.07868423878977938,0.09620856675096728
SQnc1QibapQ,Kill Bill,SZA,https://youtube.com/watch?v=SQnc1QibapQ,156000,155702461,904567,1670562009.0,single,Kill Bill,[],100,100,0,0.9075801381981556,1.0,10,-12.986397743225098,0,0.3574517519641068,0.8445604944175196,0.0,0.102410688996315,0.2015217448028892,89.10290948275862,kill bill sza,neutral,low,0.07313777601259847,0.060322225232138
m1a_GqJf02M,God's Plan,Unknown Artist,https://youtube.com/watch?v=m1a_GqJf02M,199000,146848101,1024792,1532643601.0,single,God's Plan,[],100,100,0,0.8268808043566342,1.0,0,-18.07889938354492,1,0.6896688318417716,0.7758017347618813,0.0,0.1380833983421325,0.7336297397857178,151.99908088235293,god's plan unknown artist,negative,medium,0.06897744461897955,0.06834193494032596
WHuBW3qKm9g,Levitating (Official Lyrics Video),Dua Lipa,https://youtube.com/watch?v=WHuBW3qKm9g,221000,144774298,1000558,1586422840.0,single,Levitating (Official Lyrics Video),[],100,100,0,0.9605834026108158,1.0,11,-11.539962768554688,1,0.5073475164167076,0.7883385206707999,0.0,0.0912253856658935,0.63846797189938,103.359375,levitating (official lyrics video) dua lipa,neutral,low,0.0680030424346228,0.06672538559478029
McEoTIqoRKk,Summer (Audio),Calvin Harris,https://youtube.com/watch?v=McEoTIqoRKk,223000,136405183,789049,1394787601.0,single,Summer (Audio),[],100,100,0,0.9122241320890392,1.0,7,-12.723369598388672,1,0.5474076703513552,0.7800276351333587,0.0,0.0739032551646232,0.6913942922299963,129.19921875,summer (audio) calvin harris,neutral,low,0.06407070945162831,0.05261649991651765
QpKkNIT84GY,Tití Me Preguntó (360° Visualizer) | Un Verano Sin Ti,Bad Bunny,https://youtube.com/watch?v=QpKkNIT84GY,244000,115380553,1234571,1651809733.0,single,Tití Me Preguntó (360° Visualizer) | Un Verano Sin Ti,[],100,100,0,0.9593114986812388,1.0,5,-15.011176109313965,1,0.5592806886896371,0.76959562011341,0.0,0.1216320991516113,0.6592549504612494,112.34714673913044,tití me preguntó (360° visualizer) | un verano sin ti bad bunny,negative,high,0.05419202502630314,0.08233541951403328
mQER0A0ej0M,Hey Jude (Remastered 2015),Unknown Artist,https://youtube.com/watch?v=mQER0A0ej0M,426000,92121835,731330,1529234246.0,single,Hey Jude (Remastered 2015),[],99,99,0,0.8242880165355129,1.0,5,-17.39569854736328,1,0.6043874981306825,0.7547146902128009,0.0,0.03563167527318,0.7367927964680798,151.99908088235293,hey jude (remastered 2015) unknown artist,negative,medium,0.04326362651181654,0.04876630549233881
Rif-RTvmmss,Starboy (Audio) ft. Daft Punk,The Weeknd,https://youtube.com/watch?v=Rif-RTvmmss,231000,77198832,402108,1678836860.0,single,Starboy (Audio) ft. Daft Punk,[],97,97,0,0.9307340535536214,1.0,9,-10.705431938171388,1,0.4380505357427316,0.8441517140649046,0.0,0.0581047534942626,0.6694709928902643,123.046875,starboy (audio) ft. daft punk the weeknd,neutral,low,0.03625186757407633,0.026805275177936166
b4Zp75xe6tE,Fast Car,Luke Combs,https://youtube.com/watch?v=b4Zp75xe6tE,266000,59531770,179611,1688132523.0,single,Fast Car,[],95,95,0,0.949450768207599,1.0,3,-14.40927028656006,0,0.5944284330742001,0.7873878128575812,0.0,0.0682446137070655,0.2306598569175166,99.38401442307692,fast car luke combs,positive,medium,0.027950778317302048,0.011963425721145173
p3pEe6aAJ4k,Hips Don't Lie  ft. Wyclef Jean,Shakira,https://youtube.com/watch?v=p3pEe6aAJ4k,219000,52004200,220033,1685997774.0,single,Hips Don't Lie  ft. Wyclef Jean,[],94,94,0,0.9443123843031273,1.0,10,-14.527770042419434,0,0.4949377910310423,0.7782518886291305,0.0,0.0612701587378978,0.2320302455517842,99.38401442307692,hips don't lie  ft. wyclef jean shakira,neutral,low,0.02441385574032709,0.014659809217293011
XqN2qFvY64U,Anti-Hero (Official Lyric Video),Taylor Swift,https://youtube.com/watch?v=XqN2qFvY64U,204000,44685083,273189,1666396814.0,single,Anti-Hero (Official Lyric Video),[],93,93,0,0.934860093173605,1.0,1,-18.04921531677246,1,0.4685830352157034,0.816209569221855,0.0,0.0230434834957122,0.6189748146167218,95.703125,anti-hero (official lyric video) taylor swift,positive,medium,0.02097487740325135,0.018205624889977054
rBrd_3VMC3c,What A Wonderful World,Louis Armstrong,https://youtube.com/watch?v=rBrd_3VMC3c,139000,42244689,502499,1597896008.0,single,What A Wonderful World,[],92,92,0,0.8385275582064935,0.4720847308635711,0,-27.40730857849121,1,0.501269770726124,0.8211598001036359,0.0,0.0177410095930099,0.5703807174844546,71.77734375,what a wonderful world louis armstrong,positive,high,0.019828227868897735,0.03350194124002556
tNJhkrpLGT8,drivers license,Unknown Artist,https://youtube.com/watch?v=tNJhkrpLGT8,243000,37621904,371458,1621505069.0,single,drivers license,[],91,91,0,0.8504310196382894,1.0,10,-18.285879135131836,0,0.5553397750742216,0.8525136940017841,0.0,0.0574498400092124,0.3092323208997323,143.5546875,drivers license unknown artist,negative,medium,0.017656154725107485,0.024760741157924013
vqkfEUqjl6Y,'Adrenaline' Official MV,ATEEZ(에이티즈),https://youtube.com/watch?v=vqkfEUqjl6Y,261000,25662341,351353,1770354001.0,single,'Adrenaline' Official MV,[],88,88,0,0.9115688544160164,1.0,4,-15.4788818359375,1,0.5399800567187212,0.8040493191624158,0.0,0.14183426462113857,0.6877910396256377,129.19921875,'adrenaline' official mv ateez(에이티즈),neutral,low,0.012036805003290964,0.023419620228973138
bzRMneypG04,Fix You,@coldplay,https://youtube.com/watch?v=bzRMneypG04,296000,23172770,123813,1690712188.0,single,Fix You,[],87,87,0,0.8760179921896508,1.0,10,-21.34333038330078,0,0.4714672489064327,0.8720536657660407,0.0,0.0292099602520465,0.2911903053982518,135.99917763157896,fix you @coldplay,neutral,low,0.010867049042618114,0.008241373217111303
pQV0WEdT_OE,Circles,Post Malone,https://youtube.com/watch?v=pQV0WEdT_OE,216000,18768516,280096,1567180975.0,single,Circles,[],85,85,0,0.9582199591848084,1.0,0,-11.321807861328123,1,0.5257154546798635,0.8366837447625182,0.0,0.1201148778200149,0.6594051087401678,117.45383522727272,circles post malone,neutral,low,0.008797655412624335,0.018666362132268213
7sxVHYZ_PnA,Aperture,Harry Styles,https://youtube.com/watch?v=7sxVHYZ_PnA,352000,17308997,593211,1769187607.0,single,Aperture,[],84,84,0,0.9097853091465181,1.0,2,-16.494781494140625,1,0.42396806976508095,0.9018040798155295,0.0,0.1434701131656766,0.6731278255276706,129.19921875,aperture harry styles,neutral,low,0.008111882221192848,0.039552961469172136
JyGNABrosb8,Smells Like Teen Spirit [Nevermind] [HQ Sound],Nirvana,https://youtube.com/watch?v=JyGNABrosb8,302000,13363712,97033,1413064356.0,single,Smells Like Teen Spirit [Nevermind] [HQ Sound],[],82,82,0,0.955466322404692,1.0,1,-14.164056777954102,0,0.5414693694967392,0.7649569677423359,0.0,0.0727363545447588,0.2701641252931951,117.45383522727273,smells like teen spirit [nevermind] [hq sound] nirvana,positive,low,0.006258140895758391,0.006454990800931027
hq0rZ3IiyWw,Everlong,Foo Fighters,https://youtube.com/watch?v=hq0rZ3IiyWw,251000,11480107,109209,1383152968.0,single,Everlong,[],81,81,0,0.8730399200844019,1.0,11,-13.968132019042969,1,0.4111139731676476,0.8073909747915993,0.0,0.0528171062469482,0.5854964674176237,78.30255681818181,everlong foo fighters,neutral,low,0.005373105612047589,0.0072672011183100805
kwwdY1bp-Ck,(Video Oficial) - Lenin Ramirez - DEL Records 2026,Todo Lo Fue,https://youtube.com/watch?v=kwwdY1bp-Ck,190000,9655265,97768,1769634006.0,single,(Video Oficial) - Lenin Ramirez - DEL Records 2026,[],79,79,0,0.9271526187763353,1.0,9,-14.476733207702637,1,0.5369748300162953,0.7923218904765481,0.0,0.06194866541773081,0.6225579664285178,95.703125,(video oficial) - lenin ramirez - del records 2026 todo lo fue,neutral,low,0.00451568085622172,0.006504019593906849
mxtfdH3-TQ4,"""Israelites""",Desmond Dekker & The Aces,https://youtube.com/watch?v=mxtfdH3-TQ4,155000,8063737,57032,1399652828.0,single,"""Israelites""",[],78,78,0,0.8252730866899722,1.0,10,-14.678417205810547,0,0.471508451896965,0.794855207629163,0.0,0.02482741209678352,0.33077171885562556,151.99908088235293,"""israelites"" desmond dekker & the aces",neutral,low,0.0037678815909757235,0.0037866904637530135
44FId4BpMx0,Heroes (2017 Remaster),Unknown Artist,https://youtube.com/watch?v=44FId4BpMx0,216000,7108317,90456,1510705204.0,single,Heroes (2017 Remaster),[],77,77,0,0.9728404134081464,1.0,2,-13.21716594696045,1,0.2904114385623338,0.8126281798866141,0.0,0.0222536716610193,0.6528000664952688,112.34714673913044,heroes (2017 remaster) unknown artist,negative,medium,0.0033189655970369872,0.006016266486098403
GDaPdpwA4Iw,Streets Of Minneapolis (Official Lyric Video),Bruce Springsteen,https://youtube.com/watch?v=GDaPdpwA4Iw,281000,6047679,370571,1769707148.0,single,Streets Of Minneapolis (Official Lyric Video),[],75,75,0,0.9644445186427312,1.0,2,-12.346460342407227,1,0.7013904747534606,0.7450719462493389,0.0,0.1102645955979824,0.6629335015408601,112.34714673913044,streets of minneapolis (official lyric video) bruce springsteen,positive,medium,0.0028206116145170546,0.02470157307714911
