track_name,track_artist_name,track_album_type,track_album_name,track_album_release_date,track_duration_ms,track_explicit,track_popularity,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo
Sometimes,Mattyeux,SINGLE,Sometimes,2022-06-24,209746,False,49,0.566,0.52,7,-9.444,1,0.0345,0.456,0.00167,0.0938,0.44,171.885
Fluorescent Adolescent,Arctic Monkeys,ALBUM,Favourite Worst Nightmare (Standard Version),2007-04-24,173493,False,73,0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115
ULTRA SOLO REMIX,Polimá Westcoast,SINGLE,ULTRA SOLO REMIX,2022-06-16,322347,False,81,0.909,0.824,1,-4.627,1,0.0797,0.0777,0.00387,0.0638,0.585,109.97
Nunca Tristes (Me Vale Madre),RENEE,SINGLE,Nunca Tristes (Me Vale Madre),2022-11-23,204826,True,71,0.726,0.544,2,-4.44,1,0.229,0.44,3.56e-05,0.124,0.613,178.117
When The Sun Goes Down,Arctic Monkeys,ALBUM,"Whatever People Say I Am, That's What I'm Not",2006-02-21,202133,True,63,0.348,0.875,11,-4.758,0,0.199,0.0341,0.0,0.117,0.407,169.152
Roi,Videoclub,ALBUM,Euphories,2021-01-29,224226,False,59,0.704,0.467,9,-9.263,1,0.0342,0.559,0.00117,0.0947,0.29,107.993
Cómo Te Atreves,Dani J,ALBUM,Experiencias,2018-04-27,238602,False,30,0.711,0.491,4,-10.699,1,0.0307,0.685,0.0,0.21,0.951,131.023
光るなら,Goose house,ALBUM,Milk,2015-02-25,252133,False,71,0.491,0.879,6,-2.722,0,0.0652,0.391,0.0,0.342,0.571,160.092
ULTRA SOLO,Polimá Westcoast,SINGLE,ULTRA SOLO,2022-02-14,227220,False,78,0.802,0.846,1,-4.495,1,0.207,0.233,1.92e-05,0.114,0.26,109.982
Vasos Vacíos - En Vivo,Los Fabulosos Cadillacs,COMPILATION,Fabulosos Exitos,2004,277893,False,36,0.706,0.683,7,-4.522,1,0.0357,0.353,1.65e-05,0.132,0.962,134.639
Fuentes de Ortiz,Baby Aventurero,SINGLE,Fuentes de Ortiz,2022-05-29,217595,False,35,0.787,0.79,1,-8.064,1,0.0359,0.268,2.57e-05,0.133,0.963,140.008
Understand,BoyWithUke,ALBUM,Serotonin Dreams,2022-05-06,171946,True,75,0.828,0.658,6,-6.19,0,0.14,0.81,1.06e-06,0.277,0.917,103.051
My Sunny Day - Kina Remix,Ted Fresco,SINGLE,My Sunny Day (Kina Remix),2022-03-25,116053,False,49,0.587,0.342,10,-9.604,1,0.0477,0.638,7.84e-06,0.0983,0.345,89.836
Loco (Tu Forma De Ser),Los Auténticos Decadentes,ALBUM,El Milagro Argentino,1989-06-27,313000,False,73,0.742,0.61,9,-7.596,1,0.0853,0.175,0.0,0.0493,0.722,113.281
Quizás Quizás,Laurel Aitken,ALBUM,En Español,1999-09-15,155933,False,48,0.825,0.652,2,-8.031,0,0.0576,0.51,0.0,0.316,0.96,136.275
Talk Too Much,COIN,ALBUM,How Will You Know If You Never Try,2017-04-21,187133,False,73,0.598,0.888,4,-5.119,1,0.0807,0.00947,0.0,0.347,0.482,103.966
Rico Rico,Moral Distraida,SINGLE,Rico Rico,2020-07-10,214507,False,47,0.806,0.909,4,-5.681,1,0.0875,0.0671,0.0,0.0329,0.949,110.028
